param1_crossover,param1_mutation,param2_crossover,param2_mutation,pvalue
0.1,0.5,0.9,0.5,0.5940589423738958
0.1,0.5,1.0,0.01,2.069817989027299e-23
0.1,0.5,1.0,0.05,0.6579802445250196
0.1,0.5,1.0,0.1,1.730715700305264e-14
0.1,0.5,1.0,0.2,4.931369305178564e-21
0.1,0.5,1.0,0.3,8.538514367440478e-24
0.1,0.5,1.0,0.5,0.831302312632082
0.3,0.01,0.3,0.05,3.167794063454661e-30
0.3,0.01,0.3,0.1,1.5013083799143635e-33
0.3,0.01,0.3,0.2,6.846998365511934e-35
0.3,0.01,0.3,0.3,1.6600494356031592e-33
0.3,0.01,0.3,0.5,7.205353975305921e-24
0.3,0.01,0.5,0.01,0.06825452924327907
0.3,0.01,0.5,0.05,1.4582401840238064e-27
0.3,0.01,0.5,0.1,7.422569345780277e-33
0.3,0.01,0.5,0.2,4.2324088822792205e-34
0.3,0.01,0.5,0.3,3.435465598947682e-33
0.3,0.01,0.5,0.5,3.662845997898857e-23
0.3,0.01,0.7,0.01,0.6059817040822779
0.3,0.01,0.7,0.05,5.77655413438568e-27
0.3,0.01,0.7,0.1,5.933576342294706e-34
0.3,0.01,0.7,0.2,5.437658133846858e-34
0.3,0.01,0.7,0.3,5.166358064583092e-33
0.3,0.01,0.7,0.5,4.8520528441571e-24
0.3,0.01,0.9,0.01,0.08260782084170767
0.3,0.01,0.9,0.05,2.8091239730689145e-29
0.3,0.01,0.9,0.1,1.7265234663464026e-33
0.3,0.01,0.9,0.2,7.918481734075328e-35
0.3,0.01,0.9,0.3,4.158921168296662e-33
0.3,0.01,0.9,0.5,5.724448942937901e-23
0.3,0.01,1.0,0.01,0.10757341786599131
0.3,0.01,1.0,0.05,3.9735635354273733e-29
0.3,0.01,1.0,0.1,6.5079697160334835e-34
0.3,0.01,1.0,0.2,4.8675615146064285e-34
0.3,0.01,1.0,0.3,1.763165413537523e-32
0.3,0.01,1.0,0.5,8.358731434833663e-23
0.3,0.05,0.3,0.1,2.295308926126068e-09
0.3,0.05,0.3,0.2,6.731870693154442e-07
0.3,0.05,0.3,0.3,0.013579875027082291
0.3,0.05,0.3,0.5,0.015283385593639582
0.3,0.05,0.5,0.01,7.091229842383715e-32
0.3,0.05,0.5,0.05,0.7604005302746246
0.3,0.05,0.5,0.1,3.662966122841643e-09
0.3,0.05,0.5,0.2,3.5060778044886937e-07
0.3,0.05,0.5,0.3,0.01164663809316069
0.3,0.05,0.5,0.5,0.03149160255004469
0.3,0.05,0.7,0.01,5.130889200528119e-30
0.3,0.05,0.7,0.05,0.10919987814632004
0.3,0.05,0.7,0.1,1.5815433579282926e-11
0.3,0.05,0.7,0.2,3.824623610607865e-06
0.3,0.05,0.7,0.3,0.009307057799089266
0.3,0.05,0.7,0.5,0.01794483440038846
0.3,0.05,0.9,0.01,3.213563238039869e-31
0.3,0.05,0.9,0.05,0.10423497803880045
0.3,0.05,0.9,0.1,8.197969378523419e-09
0.3,0.05,0.9,0.2,9.364849912069898e-08
0.3,0.05,0.9,0.3,0.02096727852899339
0.3,0.05,0.9,0.5,0.012638607254600568
0.3,0.05,1.0,0.01,6.826112907567211e-32
0.3,0.05,1.0,0.05,0.003219563754351887
0.3,0.05,1.0,0.1,1.837528788419246e-10
0.3,0.05,1.0,0.2,8.870264949012807e-07
0.3,0.05,1.0,0.3,0.028548414086728213
0.3,0.05,1.0,0.5,0.04103437969605783
0.3,0.1,0.3,0.2,0.0756645132710687
0.3,0.1,0.3,0.3,2.6398375313872283e-05
0.3,0.1,0.3,0.5,3.454344246532184e-16
0.3,0.1,0.5,0.01,3.826022024616735e-34
0.3,0.1,0.5,0.05,4.071946192973769e-12
0.3,0.1,0.5,0.1,0.7032172649750412
0.3,0.1,0.5,0.2,0.024672635079007174
0.3,0.1,0.5,0.3,7.295742152518936e-06
0.3,0.1,0.5,0.5,5.518525381203152e-16
0.3,0.1,0.7,0.01,3.613357078615221e-33
0.3,0.1,0.7,0.05,1.5555288360914866e-15
0.3,0.1,0.7,0.1,0.23834477792307307
0.3,0.1,0.7,0.2,0.011421387699949161
0.3,0.1,0.7,0.3,1.1378017800003801e-05
0.3,0.1,0.7,0.5,9.699741220780067e-17
0.3,0.1,0.9,0.01,5.6721625972160465e-34
0.3,0.1,0.9,0.05,9.848735575067965e-15
0.3,0.1,0.9,0.1,0.4091027782153872
0.3,0.1,0.9,0.2,0.1850637842020857
0.3,0.1,0.9,0.3,2.227835156764513e-06
0.3,0.1,0.9,0.5,2.074150390628426e-16
0.3,0.1,1.0,0.01,2.7718699378280927e-34
0.3,0.1,1.0,0.05,1.2956534436967297e-16
0.3,0.1,1.0,0.1,0.9644692007352788
0.3,0.1,1.0,0.2,0.025833113480864662
0.3,0.1,1.0,0.3,9.376737695198939e-07
0.3,0.1,1.0,0.5,7.534050511226227e-16
0.3,0.2,0.3,0.3,8.51261095743218e-10
0.3,0.2,0.3,0.5,2.1720585054433702e-23
0.3,0.2,0.5,0.01,6.598103825943532e-35
0.3,0.2,0.5,0.05,2.5892074013691506e-09
0.3,0.2,0.5,0.1,0.5802414582676401
0.3,0.2,0.5,0.2,0.7534132559202541
0.3,0.2,0.5,0.3,3.647422844121077e-10
0.3,0.2,0.5,0.5,1.4663020231664228e-23
0.3,0.2,0.7,0.01,2.6564024102484618e-34
0.3,0.2,0.7,0.05,1.6129088528218285e-12
0.3,0.2,0.7,0.1,0.0021697849342402083
0.3,0.2,0.7,0.2,0.6383350897998099
0.3,0.2,0.7,0.3,2.9733381361678044e-11
0.3,0.2,0.7,0.5,1.7637333112767735e-23
0.3,0.2,0.9,0.01,8.38743136173086e-35
0.3,0.2,0.9,0.05,1.6555189433932505e-12
0.3,0.2,0.9,0.1,0.1324406058926106
0.3,0.2,0.9,0.2,0.33208653457931425
0.3,0.2,0.9,0.3,2.2391395197289262e-11
0.3,0.2,0.9,0.5,2.3402831672715336e-24
0.3,0.2,1.0,0.01,5.524288372404282e-35
0.3,0.2,1.0,0.05,2.4454903335600185e-14
0.3,0.2,1.0,0.1,0.11953129595105255
0.3,0.2,1.0,0.2,0.7451231821248032
0.3,0.2,1.0,0.3,1.687835490192846e-11
0.3,0.2,1.0,0.5,9.260044002586435e-24
0.3,0.3,0.3,0.5,3.083603076404177e-24
0.3,0.3,0.5,0.01,9.569362539319929e-34
0.3,0.3,0.5,0.05,0.00019582730998038916
0.3,0.3,0.5,0.1,0.001564790460991714
0.3,0.3,0.5,0.2,3.4907745714958507e-08
0.3,0.3,0.5,0.3,0.9496316463646391
0.3,0.3,0.5,0.5,9.028912261414705e-25
0.3,0.3,0.7,0.01,1.6520773356206032e-32
0.3,0.3,0.7,0.05,1.5700708592239727e-05
0.3,0.3,0.7,0.1,2.657162808494101e-07
