problemIndex,crossoverProbability,mutationProbability,mean_fitness,std_fitness,problem.optimalValue
3,0.1,0.2,6120.0,0.0,6120.0
3,0.1,0.3,6120.0,0.0,6120.0
3,0.1,0.5,6120.0,0.0,6120.0
3,0.3,0.01,6120.0,0.0,6120.0
3,0.3,0.05,6120.0,0.0,6120.0
3,0.3,0.1,6120.0,0.0,6120.0
3,0.3,0.2,6120.0,0.0,6120.0
3,0.3,0.3,6120.0,0.0,6120.0
3,0.3,0.5,6120.0,0.0,6120.0
3,0.5,0.01,6120.0,0.0,6120.0
3,0.5,0.05,6120.0,0.0,6120.0
3,0.5,0.1,6120.0,0.0,6120.0
3,0.5,0.2,6120.0,0.0,6120.0
3,0.5,0.3,6120.0,0.0,6120.0
3,0.5,0.5,6120.0,0.0,6120.0
3,0.7,0.01,6120.0,0.0,6120.0
3,0.7,0.05,6120.0,0.0,6120.0
3,0.7,0.1,6120.0,0.0,6120.0
3,0.7,0.2,6120.0,0.0,6120.0
3,0.7,0.3,6120.0,0.0,6120.0
3,0.7,0.5,6120.0,0.0,6120.0
3,0.9,0.01,6120.0,0.0,6120.0
3,0.9,0.05,6120.0,0.0,6120.0
3,0.9,0.1,6120.0,0.0,6120.0
3,0.9,0.2,6120.0,0.0,6120.0
3,0.9,0.3,6120.0,0.0,6120.0
3,0.9,0.5,6120.0,0.0,6120.0
3,1.0,0.01,6120.0,0.0,6120.0
3,1.0,0.05,6120.0,0.0,6120.0
3,1.0,0.1,6120.0,0.0,6120.0
3,1.0,0.2,6120.0,0.0,6120.0
3,1.0,0.3,6120.0,0.0,6120.0
3,1.0,0.5,6120.0,0.0,6120.0
4,0.1,0.01,12392.258064516129,15.429339458610546,12400.0
4,0.1,0.05,12400.0,0.0,12400.0
4,0.1,0.1,12400.0,0.0,12400.0
4,0.1,0.2,12400.0,0.0,12400.0
4,0.1,0.3,12400.0,0.0,12400.0
4,0.1,0.5,12363.225806451614,28.21194744243312,12400.0
4,0.3,0.01,12373.548387096775,98.37168925718328,12400.0
4,0.3,0.05,12400.0,0.0,12400.0
4,0.3,0.1,12400.0,0.0,12400.0
4,0.3,0.2,12400.0,0.0,12400.0
4,0.3,0.3,12400.0,0.0,12400.0
4,0.3,0.5,12363.870967741936,25.387322210746518,12400.0
4,0.5,0.01,12376.774193548386,98.36622376860181,12400.0
4,0.5,0.05,12400.0,0.0,12400.0
4,0.5,0.1,12400.0,0.0,12400.0
4,0.5,0.2,12400.0,0.0,12400.0
4,0.5,0.3,12400.0,0.0,12400.0
